[2024-06-01 14:27:23,064: INFO: main: Welcome to our custom log]
[2024-06-02 03:55:19,578: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 03:55:19,580: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 03:55:19,581: INFO: common: created directory at: artifacts]
[2024-06-02 03:55:19,582: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-02 03:55:19,583: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1l0-usdv82D1cR8wemeSGbG5-Rm6dIzu9/view?usp=sharing into file artifacts/data_ingestion/Kidney_Data.zip]
[2024-06-02 04:00:35,175: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1l0-usdv82D1cR8wemeSGbG5-Rm6dIzu9/view?usp=sharing into file artifacts/data_ingestion/Kidney_Data.zip]
[2024-06-02 04:16:00,436: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-06-02 04:16:00,437: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-02 04:16:00,437: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-02 04:16:00,437: INFO: common: created directory at: artifacts]
[2024-06-02 04:16:00,437: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-02 04:16:00,439: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1l0-usdv82D1cR8wemeSGbG5-Rm6dIzu9/view?usp=sharing into file artifacts/data_ingestion/Kidney_Data.zip]
[2024-06-02 04:21:54,491: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1l0-usdv82D1cR8wemeSGbG5-Rm6dIzu9/view?usp=sharing into file artifacts/data_ingestion/Kidney_Data.zip]
[2024-06-02 04:22:00,230: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
